Posicion,Nombre de la cancion,Artista,Popularidad,Duration_ms,ReleaseDate
82,El Hijo Mayor,Junior H,80,196500,2022-05-20
83,MAMIII,"Becky G, KAROL G",80,226093,2022-05-13
84,Desesperados,"Rauw Alejandro, Chencho Corleone",80,224996,2021-12-10
85,Monotonía,"Shakira, Ozuna",80,158804,2022-10-19
86,Botella Tras Botella,"Gera MX, Christian Nodal",80,197333,2021-04-23
87,Mon Amour - Remix,"zzoilo, Aitana",80,179940,2021-08-18
88,San Lucas,Kevin Kaarl,80,247196,2019-11-07
89,El Tóxico,"Grupo Firme, Carin Leon",80,179745,2020-10-27
90,Que Vuelvas,"Carin Leon, Grupo Frontera",80,169418,2022-12-09
91,Shorty Party,"Cartel De Santa, La Kelly",80,265000,2023-03-04
92,Fuentes de Ortiz,Ed Maverick,80,207400,2018-03-02
93,DEMBOW BÉLICO,"Tito Double P, Joel De La P, Luis R Conriquez",80,126522,2023-06-03
94,Fuera del mercado,Danny Ocean,80,159849,2022-02-17
95,Te Felicito,"Shakira, Rauw Alejandro",79,172235,2022-04-21
96,DESPECHÁ,ROSALÍA,79,157017,2022-07-28
97,Cúrame,Rauw Alejandro,79,164705,2021-12-10
98,Los Botones Azules,"Junior H, Luis R Conriquez",79,135611,2022-02-11
99,Volví,"Aventura, Bad Bunny",79,230125,2021-08-03
100,Don't Be Shy,"Tiësto, KAROL G",79,140500,2021-08-12
