Posicion,Nombre de la cancion,Artista,Popularidad,Duration_ms,ReleaseDate,Pais
4,Manos Rotas,"DELLAFUENTE, Morad",84,168594,2023-11-16,España
5,LUNA,"Feid, ATL Jacob",97,196800,2023-12-01,España
6,Gata Only,"FloyyMenor, Cris Mj",91,222000,2024-02-02,España
7,Una Foto Remix (feat. Emilia),"Mesita, Nicki Nicole, Tiago PZK, Emilia",91,243898,2024-01-05,España
8,Mamichula - con Nicki Nicole,"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL",88,219201,2020-07-23,España
9,M.A.I,Milo j,88,184027,2023-11-30,España
10,Casanova,"Soolking, Lola Indigo, Rvfv",82,243806,2023-12-07,España
11,No Te Quieren Conmigo,"Gaby Music, Lunay, Luar La L",88,252040,2023-12-15,España
12,"Young Miko: Bzrp Music Sessions, Vol. 58","Bizarrap, Young Miko",93,187172,2024-01-10,España
13,El Patio,"Pepe y Vizio, Delaossa, KIDDO",74,232645,2022-07-15,España
14,La_Original.mp3,"Emilia, TINI",84,140625,2023-11-03,España
15,A 300,"JC Reyes, Pedro Calderon, Blacknife",78,169208,2023-02-17,España
16,PERRO NEGRO,"Bad Bunny, Feid",95,162767,2023-10-13,España
17,Buscando Money,"TWENTY SIX, Tayson Kryss",68,150000,2024-02-23,España
18,Columbia,Quevedo,91,186000,2023-07-07,España
19,LA CAPI,Myke Towers,80,202360,2023-09-18,España
20,EMPELOTICA,"Lenny Tavárez, Feid",79,190322,2024-02-22,España
21,MODELITO,"Mora, YOVNGCHIMI",83,190496,2022-11-03,España
22,Narcotics (with Bryant Myers),"Dei V, Bryant Myers",84,173991,2023-09-14,España
23,La Bachata,Manuel Turizo,86,162637,2023-03-17,España
24,LA ÚLTIMA,Quevedo,83,170322,2024-02-01,España
25,UNA BACHATA,"Lola Indigo, SAIKO",77,157846,2024-02-01,España
26,CONTIGO (with Tiësto),"KAROL G, Tiësto",90,192786,2024-02-15,España
27,BAD BOY,"Chris Jedi, Gaby Music, Dei V, Anuel AA, Ozuna",78,235146,2024-02-07,España
28,X'CLUSIVO,Gonzy,81,175586,2023-12-01,España
29,REINA,"Mora, SAIKO",83,211879,2023-08-28,España
30,Hey Lil Mama,"Eladio Carrion, Rauw Alejandro",85,216338,2024-01-19,España
31,DILUVIO,Rauw Alejandro,90,197052,2023-07-07,España
32,COSAS QUE NO TE DIJE,SAIKO,84,224725,2021-09-17,España
33,Madrid City,Ana Mena,79,172727,2023-09-29,España
34,POLARIS - Remix,"SAIKO, Quevedo, Feid, Mora",82,288000,2023-06-08,España
35,QLONA,"KAROL G, Peso Pluma",93,172797,2023-08-10,España
36,OA,"Anuel AA, Quevedo, Maluma, Mambo Kingz, DJ Luian",85,235200,2023-10-13,España
37,BABY HELLO,"Rauw Alejandro, Bizarrap",77,222461,2023-07-07,España
38,"Japoni (feat. Camin, Moncho Chavea, Jthyago & Samueliyo Baby)","Oscar el Ruso, Samuel G, Omar Montes, Camin, Moncho Chavea, Jthyago, Samueliyo Baby",76,248004,2024-01-02,España
